Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
2287081,763.56,762.99,-0.40,0.00,-42069
2287112,762.34,766.62,-0.40,0.00,-42069
2287173,763.56,765.41,-0.40,0.00,-42069
2287265,763.56,765.41,-0.40,0.00,-42069
2287356,759.92,766.62,-0.40,0.00,-42069
2287387,763.56,766.62,-0.40,0.00,-42069
2287449,762.34,762.99,-0.40,0.00,-42069
2287541,763.56,765.41,-0.40,0.00,-42069
2287601,763.56,766.62,-0.40,0.00,-42069
2287632,764.77,766.62,-0.40,0.00,-42069
2287663,764.77,766.62,-0.40,0.00,-42069
2287693,764.77,765.41,-0.40,0.00,-42069
2287724,763.56,766.62,-0.40,0.00,-42069
2287907,763.56,765.41,-0.40,0.00,-42069
2287938,764.77,765.41,-0.40,0.00,-42069
2287969,763.56,766.62,-0.40,0.00,-42069
2288000,763.56,766.62,-0.40,0.00,-42069
2288091,764.77,766.62,-0.40,0.00,-42069
2288152,763.56,767.83,-0.40,0.00,-42069
2288183,764.77,767.83,-0.40,0.00,-42069
2288214,763.56,767.83,-0.40,0.00,-42069
2288244,764.77,765.41,-0.40,0.00,-42069
2288275,764.77,767.83,-0.40,0.00,-42069
2288428,764.77,766.62,-0.40,0.00,-42069
2288458,764.77,766.62,-0.40,0.00,-42069
2288489,764.77,766.62,-0.40,0.00,-42069
2288520,764.77,767.83,-0.40,0.00,-42069
2288549,764.77,767.83,-0.40,0.00,-42069
2288642,765.99,767.83,-0.40,0.00,-42069
2288703,764.77,767.83,-0.40,0.00,-42069
2288734,765.99,766.62,-0.40,0.00,-42069
2288825,764.77,766.62,-0.40,0.00,-42069
2288917,765.99,767.83,-0.40,0.00,-42069
2288978,764.77,767.83,-0.40,0.00,-42069
2289009,765.99,769.04,-0.40,0.00,-42069
2289100,765.99,769.04,-0.40,0.00,-42069
2289284,765.99,767.83,-0.40,0.00,-42069
2289345,765.99,769.04,-0.40,0.00,-42069
2289376,764.77,765.41,-0.40,0.00,-42069
2289406,765.99,767.83,-0.40,0.00,-42069
2289437,765.99,767.83,-0.40,0.00,-42069
2289590,765.99,769.04,-0.40,0.00,-42069
2289620,765.99,769.04,-0.40,0.00,-42069
2289651,765.99,769.04,-0.40,0.00,-42069
2289682,767.20,769.04,-0.40,0.00,-42069
2289804,767.20,766.62,-0.40,0.00,-42069
2289865,765.99,767.83,-0.40,0.00,-42069
2289896,767.20,769.04,-0.40,0.00,-42069
2289927,767.20,769.04,-0.40,0.00,-42069
2289957,767.20,769.04,-0.40,0.00,-42069
2289988,765.99,770.25,-0.40,0.00,-42069
2290079,767.20,770.25,-0.40,0.00,-42069
2290141,767.20,769.04,-0.40,0.00,-42069
2290171,767.20,770.25,-0.40,0.00,-42069
2290202,767.20,770.25,-0.40,0.00,-42069
2290263,767.20,769.04,-0.40,0.00,-42069
2290355,767.20,769.04,-0.40,0.00,-42069
2290447,767.20,770.25,-0.40,0.00,-42069
2290478,767.20,767.83,-0.40,0.00,-42069
2290508,767.20,770.25,-0.40,0.00,-42069
2290538,767.20,770.25,-0.40,0.00,-42069
2290692,767.20,770.25,-0.40,0.00,-42069
2290722,768.41,770.25,-0.40,0.00,-42069
2290783,768.41,770.25,-0.40,0.00,-42069
2290813,768.41,770.25,-0.40,0.00,-42069
2290906,767.20,770.25,-0.40,0.00,-42069
2290967,767.20,771.46,-0.40,0.00,-42069
2290998,768.41,771.46,-0.40,0.00,-42069
2291027,767.20,771.46,-0.40,0.00,-42069
2291058,768.41,771.46,-0.40,0.00,-42069
2291089,769.63,770.25,-0.40,0.00,-42069
2291181,768.41,770.25,-0.40,0.00,-42069
2291243,768.41,771.46,-0.40,0.00,-42069
2291272,768.41,770.25,-0.40,0.00,-42069
2291303,768.41,770.25,-0.40,0.00,-42069
2291334,768.41,770.25,-0.40,0.00,-42069
2291364,767.20,769.04,-0.40,0.00,-42069
2291517,769.63,771.46,-0.40,0.00,-42069
2291548,768.41,770.25,-0.40,0.00,-42069
2291578,769.63,771.46,-0.40,0.00,-42069
2291609,769.63,771.46,-0.40,0.00,-42069
2291640,769.63,771.46,-0.40,0.00,-42069
2291732,768.41,771.46,-0.40,0.00,-42069
2291823,768.41,770.25,-0.40,0.00,-42069
2291854,769.63,771.46,-0.40,0.00,-42069
2291885,767.20,771.46,-0.40,0.00,-42069
2291915,765.99,772.67,-0.40,0.00,-42069
2291946,768.41,772.67,-0.40,0.00,-42069
2291977,769.63,771.46,-0.40,0.00,-42069
2292068,768.41,771.46,-0.40,0.00,-42069
2292129,769.63,771.46,-0.40,0.00,-42069
2292160,769.63,772.67,-0.40,0.00,-42069
2292191,769.63,772.67,-0.40,0.00,-42069
2292221,768.41,771.46,-0.40,0.00,-42069
2292252,769.63,771.46,-0.40,0.00,-42069
2292343,769.63,771.46,-0.40,0.00,-42069
2292405,769.63,771.46,-0.40,0.00,-42069
2292435,769.63,771.46,-0.40,0.00,-42069
2292466,769.63,772.67,-0.40,0.00,-42069
2292497,770.84,772.67,-0.40,0.00,-42069
2292527,768.41,772.67,-0.40,0.00,-42069
2292619,769.63,772.67,-0.40,0.00,-42069
2292680,769.63,771.46,-0.40,0.00,-42069
2292742,769.63,772.67,-0.40,0.00,-42069
2292772,769.63,771.46,-0.40,0.00,-42069
2292894,769.63,772.67,-0.40,0.00,-42069
2292986,770.84,771.46,-0.40,0.00,-42069
2293017,770.84,772.67,-0.40,0.00,-42069
2293078,770.84,772.67,-0.40,0.00,-42069
2293170,770.84,772.67,-0.40,0.00,-42069
2293231,770.84,772.67,-0.40,0.00,-42069
2293262,770.84,772.67,-0.40,0.00,-42069
2293292,770.84,773.89,-0.40,0.00,-42069
2293353,770.84,772.67,-0.40,0.00,-42069
2293445,770.84,772.67,-0.40,0.00,-42069
2293507,770.84,772.67,-0.40,0.00,-42069
2293536,769.63,773.89,-0.40,0.00,-42069
2293598,770.84,773.89,-0.40,0.00,-42069
2293628,770.84,773.89,-0.40,0.00,-42069
2293721,770.84,772.67,-0.40,0.00,-42069
2293812,770.84,772.67,-0.40,0.00,-42069
2293842,770.84,773.89,-0.40,0.00,-42069
2293873,769.63,773.89,-0.40,0.00,-42069
2293904,772.06,775.10,-0.40,0.00,-42069
2293996,772.06,775.10,-0.40,0.00,-42069
2294087,772.06,773.89,-0.40,0.00,-42069
2294118,772.06,773.89,-0.40,0.00,-42069
2294149,772.06,773.89,-0.40,0.00,-42069
2294179,772.06,773.89,-0.40,0.00,-42069
2294241,772.06,775.10,-0.40,0.00,-42069
2294332,770.84,775.10,-0.40,0.00,-42069
2294424,772.06,773.89,-0.40,0.00,-42069
2294455,772.06,773.89,-0.40,0.00,-42069
2294486,772.06,775.10,-0.40,0.00,-42069
2294546,772.06,775.10,-0.40,0.00,-42069
2294577,772.06,772.67,-0.40,0.00,-42069
2294669,772.06,775.10,-0.40,0.00,-42069
2294761,772.06,775.10,-0.40,0.00,-42069
2294792,772.06,775.10,-0.40,0.00,-42069
2294821,772.06,775.10,-0.40,0.00,-42069
2294852,772.06,773.89,-0.40,0.00,-42069
2294944,772.06,775.10,-0.40,0.00,-42069
2295006,772.06,773.89,-0.40,0.00,-42069
2295066,772.06,775.10,-0.40,0.00,-42069
2295097,773.27,775.10,-0.40,0.00,-42069
2295128,772.06,775.10,-0.40,0.00,-42069
2295220,773.27,775.10,-0.40,0.00,-42069
2295281,773.27,776.31,-0.40,0.00,-42069
2295342,772.06,776.31,-0.40,0.00,-42069
2295372,769.63,775.10,-0.40,0.00,-42069
2295403,774.49,776.31,-0.40,0.00,-42069
2295495,773.27,776.31,-0.40,0.00,-42069
2295556,773.27,776.31,-0.40,0.00,-42069
2295586,773.27,776.31,-0.40,0.00,-42069
2295648,773.27,775.10,-0.40,0.00,-42069
2295678,773.27,775.10,-0.40,0.00,-42069
2295771,773.27,773.89,-0.40,0.00,-42069
